date,retailer,carat_weight,price_usd,url
2026-04-21,Brilliant Earth,1.0,520.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/77224000/
2026-04-21,Brilliant Earth,1.5,990.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/75900934/
2026-04-21,Brilliant Earth,2.0,1420.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/76720036/
2026-04-22,Brilliant Earth,1.0,520.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/77372248/
2026-04-22,Brilliant Earth,1.5,990.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/75900934/
2026-04-22,Brilliant Earth,2.0,1370.0,https://www.brilliantearth.com/lab-diamonds-search/view_detail/77387081/
2026-04-22,Blue Nile,1.0,700.0,https://www.bluenile.com/diamond-details/27293538
2026-04-22,Blue Nile,1.5,1130.0,https://www.bluenile.com/diamond-details/16325061
2026-04-22,Blue Nile,2.0,1550.0,https://www.bluenile.com/diamond-details/15706376
2026-04-22,With Clarity,1.0,436.0,https://www.withclarity.com/products/diamonds?sku=788669569
2026-04-22,With Clarity,1.5,777.0,https://www.withclarity.com/products/diamonds?sku=777628941
2026-04-22,With Clarity,2.0,960.0,https://www.withclarity.com/products/diamonds?sku=626489199
