date,retailer,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,certificate_lab,certificate_number,price_usd,price_per_carat,product_url,scraped_at
2026-04-23,Clean Origin,round,1.07,G,VS2,Excellent,Excellent,Excellent,None,IGI,,281.25,262.85,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-abfeb514b692/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.09,G,VS2,Excellent,Excellent,Excellent,None,IGI,,288.75,264.91,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-2b7660693d01/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.01,F,VS2,Excellent,Excellent,Excellent,,IGI,,288.75,285.89,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-a4e6ddbafc61/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.02,F,VS2,Excellent,Excellent,Excellent,None,GIA,,292.5,286.76,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-3d9ad9d37428/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,F,VS2,Excellent,Excellent,Excellent,,IGI,,307.5,287.38,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-8043116ebdec/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,288.19,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-cd1582bb4d8e/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.09,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,285.55,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-14e1b8f2287b/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,288.19,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-4d77fbf684ea/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.09,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,285.55,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-974f94c8da5c/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.09,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,285.55,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-425c27df4add/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.09,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,285.55,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-5f2c2b71c01e/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,311.25,288.19,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-09a67a3a21a4/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,F,VS2,Excellent,Excellent,Excellent,,IGI,,322.5,301.4,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-f96c87da8690/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.0,F,VS1,Excellent,Excellent,Excellent,,IGI,,322.5,322.5,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-22ea575aa2f3/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.01,F,VS1,Excellent,Excellent,Excellent,None,IGI,,326.25,323.02,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-7a5385054507/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,326.25,302.08,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-f1c879c25d7e/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,326.25,302.08,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-1c4bbbb7a9bd/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,326.25,302.08,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-1846eff375ad/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.08,F,VS2,Excellent,Excellent,Excellent,,IGI,,326.25,302.08,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-cca59ee4d8d1/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.14,F,VS2,Excellent,Excellent,Excellent,None,IGI,,326.25,286.18,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-3d9cf24e6feb/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.03,F,VS1,Excellent,Excellent,Excellent,,IGI,,333.75,324.03,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-1f9b8cb77f4c/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.06,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,318.4,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-2010b4ba1ca5/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-feb1aa0baa0d/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-7fad767ac042/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-98a1b15194c4/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-b36f25145501/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-77f5fac3b42b/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-8fd9bb8fabe8/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.07,E,VS2,Excellent,Excellent,Excellent,,IGI,,337.5,315.42,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-99350c818a70/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.02,F,VS1,Excellent,Excellent,Excellent,None,IGI,,337.5,330.88,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-68b255a54abe/,2026-04-23T10:59:59Z
2026-04-23,Clean Origin,round,1.04,F,VS1,Excellent,Excellent,Excellent,,IGI,,337.5,324.52,https://www.cleanorigin.com/diamonds/round-lab-grown-diamond-f73170534609/,2026-04-23T10:59:59Z
