date,retailer,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,certificate_lab,certificate_number,price_usd,price_per_carat,product_url,scraped_at
2026-04-23,VRAI,round-brilliant,0.99,D,VS1,Excellent,Excellent,Excellent,,,,1133.0,1144.44,https://www.vrai.com/diamonds/F661094,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.04,D,VS2,Excellent,Excellent,Excellent,,,,1158.0,1113.46,https://www.vrai.com/diamonds/F660946,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.02,D,VS1,Excellent,Excellent,Excellent,,,,1179.0,1155.88,https://www.vrai.com/diamonds/F661450,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.03,D,VS1,Excellent,Excellent,Excellent,,,,1197.0,1162.14,https://www.vrai.com/diamonds/F660950,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.04,D,VS1,Excellent,Excellent,Excellent,,,,1214.0,1167.31,https://www.vrai.com/diamonds/F660662,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.05,D,VS1,Excellent,Excellent,Excellent,,,,1232.0,1173.33,https://www.vrai.com/diamonds/F661274,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.02,D,VVS2,Excellent,Excellent,Excellent,,,,1297.0,1271.57,https://www.vrai.com/diamonds/F661865,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.09,D,VS1,Excellent,Excellent,Excellent,,,,1303.0,1195.41,https://www.vrai.com/diamonds/F657023,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.03,D,VVS2,Excellent,Excellent,Excellent,,,,1316.0,1277.67,https://www.vrai.com/diamonds/F661697,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.04,D,VVS2,Excellent,Excellent,Excellent,,,,1336.0,1284.62,https://www.vrai.com/diamonds/F660680,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.05,D,VVS2,Excellent,Excellent,Excellent,,,,1355.0,1290.48,https://www.vrai.com/diamonds/F661275,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.07,D,VVS2,Excellent,Excellent,Excellent,,,,1394.0,1302.8,https://www.vrai.com/diamonds/F656669,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.08,D,VVS2,Excellent,Excellent,Excellent,,,,1414.0,1309.26,https://www.vrai.com/diamonds/F656986,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.02,D,VVS1,Excellent,Excellent,Excellent,,,,1427.0,1399.02,https://www.vrai.com/diamonds/F661300,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.09,D,VVS2,Excellent,Excellent,Excellent,,,,1433.0,1314.68,https://www.vrai.com/diamonds/F656698,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.03,D,VVS1,Excellent,Excellent,Excellent,,,,1448.0,1405.83,https://www.vrai.com/diamonds/F661724,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.05,D,VVS1,Excellent,Excellent,Excellent,,,,1491.0,1420.0,https://www.vrai.com/diamonds/F661277,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,2.03,D,VS1,Excellent,Excellent,Excellent,,,,3311.0,1631.03,https://www.vrai.com/diamonds/F658398,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,2.19,D,VS1,Excellent,Excellent,Excellent,,,,3711.0,1694.52,https://www.vrai.com/diamonds/F659420,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,2.21,D,VVS2,Excellent,Excellent,Excellent,,,,4138.0,1872.4,https://www.vrai.com/diamonds/F659389,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,2.3,D,VVS2,Excellent,Excellent,Excellent,,,,4393.0,1910.0,https://www.vrai.com/diamonds/F658831,2026-04-23T00:41:27Z
2026-04-23,VRAI,round-brilliant,1.02,E,VS2,Excellent,Excellent,Excellent,,,,1051.0,1030.39,https://www.vrai.com/diamonds/F623100,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.05,E,VS2,Excellent,Excellent,Excellent,,,,1098.0,1045.71,https://www.vrai.com/diamonds/F661371,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.02,E,VS1,Excellent,Excellent,Excellent,,,,1102.0,1080.39,https://www.vrai.com/diamonds/F623570,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.03,E,VS1,Excellent,Excellent,Excellent,,,,1119.0,1086.41,https://www.vrai.com/diamonds/F661551,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.04,E,VS1,Excellent,Excellent,Excellent,,,,1135.0,1091.35,https://www.vrai.com/diamonds/F660677,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.05,E,VS1,Excellent,Excellent,Excellent,,,,1151.0,1096.19,https://www.vrai.com/diamonds/F661368,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.02,E,VVS2,Excellent,Excellent,Excellent,,,,1212.0,1188.24,https://www.vrai.com/diamonds/F623223,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.03,E,VVS2,Excellent,Excellent,Excellent,,,,1230.0,1194.17,https://www.vrai.com/diamonds/F661290,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.04,E,VVS2,Excellent,Excellent,Excellent,,,,1248.0,1200.0,https://www.vrai.com/diamonds/F660938,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.05,E,VVS2,Excellent,Excellent,Excellent,,,,1266.0,1205.71,https://www.vrai.com/diamonds/F661249,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.29,E,SI1,Excellent,Excellent,Excellent,,,,1296.0,1004.65,https://www.vrai.com/diamonds/F590144,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.02,E,VVS1,Excellent,Excellent,Excellent,,,,1334.0,1307.84,https://www.vrai.com/diamonds/F661909,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.03,E,VVS1,Excellent,Excellent,Excellent,,,,1353.0,1313.59,https://www.vrai.com/diamonds/F661604,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.04,E,VVS1,Excellent,Excellent,Excellent,,,,1373.0,1320.19,https://www.vrai.com/diamonds/F660952,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.01,E,VS1,Excellent,Excellent,Excellent,,,,1505.0,1490.1,https://www.vrai.com/diamonds/F623138,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.01,E,VVS2,Excellent,Excellent,Excellent,,,,1656.0,1639.6,https://www.vrai.com/diamonds/F623746,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.27,E,VVS1,Excellent,Excellent,Excellent,,,,1853.0,1459.06,https://www.vrai.com/diamonds/F661076,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.64,E,VS2,Excellent,Excellent,Excellent,,,,2143.0,1306.71,https://www.vrai.com/diamonds/F603682,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.64,E,VS1,Excellent,Excellent,Excellent,,,,2247.0,1370.12,https://www.vrai.com/diamonds/F615680,2026-04-23T00:41:33Z
2026-04-23,VRAI,round-brilliant,1.54,E,VVS2,Excellent,Excellent,Excellent,,,,2249.0,1460.39,https://www.vrai.com/diamonds/F663361,2026-04-23T00:41:33Z
